snr_db,edma,hybrid,oma,genie,todma
0.0,0.1915625,0.2253125,0.1278125,0.190625,0.028125
2.5,0.278125,0.325,0.1884375,0.2840625,0.03671875
5.0,0.4065625,0.45375,0.2784375,0.4103125,0.05390625
7.5,0.5365625,0.5765625,0.3965625,0.54,0.0765625
10.0,0.6625,0.6940625,0.52375,0.6675,0.1390625
12.5,0.7646875,0.781875,0.6515625,0.76375,0.23359375
15.0,0.8296875,0.84875,0.7515625,0.833125,0.371875
17.5,0.8828125,0.8934375,0.828125,0.89,0.515625
20.0,0.9178125,0.926875,0.881875,0.925625,0.65859375
22.5,0.94625,0.9503125,0.9175,0.9565625,0.7703125
25.0,0.96125,0.9625,0.94625,0.9734375,0.84609375
27.5,0.970625,0.971875,0.9690625,0.983125,0.8921875
30.0,0.9796875,0.98,0.9809375,0.99125,0.91640625
